,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. CBCFCMDMGKLBLWRBRWSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,Pos. AMCBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBLWRBRWSS,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Pos. CBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBLWRB,Pos. CBCFCMDMGKLBRBRW,"Contract Expiration Jun 23, 2023Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027","Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2031",Years Remaining 123459,Pos. AMCBCFCMGKLBLWRBRW,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028Jun 30, 2029",Years Remaining 1234567
23,Srdjan Babic,"€ 2,981","€ 155,000",,"Jul 1, 2022","Jun 30, 2026",4.0,"€ 620,000",,D,CB,26.0,Starter,Serbia,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
24,Arnau Puigmal,"€ 2,981","€ 155,000",,"Jul 9, 2021","Jun 30, 2026",4.0,"€ 620,000",,M,CM,22.0,Reserve,Spain,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
25,Largie Ramazani,"€ 2,981","€ 155,000",,"Aug 24, 2020","Jun 30, 2025",3.0,"€ 465,000",,F,LW,21.0,Reserve,Belgium,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
26,Diego Mariño,€ 0,€ 0,,"Jan 26, 2023","Jun 30, 2024",2.0,€ 0,,K,GK,32.0,Reserve,Spain,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
27,Martin Svidersky,€ 0,€ 0,,,"Jun 30, 2027",5.0,€ 0,,M,DM,20.0,Reserve,Slovakia,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
28,Total,"€ 267,212","€ 13,895,000",€ 0,,,,"€ 46,645,000","€ 40,000,000",,,,,,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
29,Raúl García,"€ 160,000","€ 8,320,000",,"May 9, 2022","Jun 30, 2023",1.0,"€ 8,320,000",,F,,36.0,Reserve,Spain,,,Athletic Club,La Liga,2022-2023,CF,,,,,,,,,,,,
30,Ander Herrera,"€ 115,385","€ 6,000,000",,"Feb 1, 2023","Jun 30, 2023",1.0,"€ 6,000,000",,M,,33.0,Reserve,Spain,,,Athletic Club,La Liga,2022-2023,CM,,,,,,,,,,,,
31,Iñaki Williams,"€ 114,808","€ 5,970,000",,"Aug 12, 2019","Jun 30, 2028",6.0,"€ 35,820,000",,F,,28.0,Starter,Ghana,,,Athletic Club,La Liga,2022-2023,CF,,,,,,,,,,,,
32,Iñigo Martínez,"€ 96,154","€ 5,000,000",,"Jan 30, 2018","Jun 30, 2023",1.0,"€ 5,000,000",,D,,31.0,Reserve,Spain,,,Athletic Club,La Liga,2022-2023,CB,,,,,,,,,,,,
