,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,Pos. AMCBCFCMDMGKLBLWRBSS,Pos. CBCFCMDMGKLBLWRB,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2027",Years Remaining 1235,Pos. AMCBCFCMDMGKLBLMRBRW,Pos. AMCBCFCMDMGKLBLMRBRMSS,Pos. AMCBCFCMDMGKLBLMLWRBRMRW,Pos. CBCFCMDMGKLBLMLWRBRW,Pos. CBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBRBRWSS,Pos. AMCBCFCMDMGKLBLMLWRBRWSS,Pos. CBCFCMDMGKLBRBRM,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Pos. AMCBCFCMDMGKLBLMLWRBRW,Pos. AMCBCFCMDMGKLWRBRW,Pos. AMCBCFCMDMGKLBRBRW
21,Rafael Leão,"€ 34,423","€ 1,790,000",,"Aug 1, 2019","Jun 30, 2024",2.0,"€ 3,580,000","€ 150,000,000",F,LW,23.0,Starter,Portugal,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
22,Ciprian Tatarusanu,"€ 29,615","€ 1,540,000",,"Sep 11, 2020","Jun 30, 2023",1.0,"€ 1,540,000",,K,GK,36.0,Reserve,Romania,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
23,Matteo Gabbia,"€ 28,462","€ 1,480,000",,"Feb 3, 2022","Jun 30, 2026",4.0,"€ 5,920,000",,D,CB,23.0,Reserve,Italy,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
24,Antonio Mirante,"€ 25,000","€ 1,300,000",,"Jul 1, 2022","Jun 30, 2023",1.0,"€ 1,300,000",,K,GK,39.0,Reserve,Italy,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
25,Alexis Saelemaekers,"€ 24,615","€ 1,280,000",,"Oct 15, 2021","Jun 30, 2026",4.0,"€ 5,120,000",,F,RW,23.0,Reserve,Belgium,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
26,Fodé Ballo-Touré,"€ 24,615","€ 1,280,000",,"Jul 18, 2021","Jun 30, 2025",3.0,"€ 3,840,000",,D,LB,26.0,Reserve,Senegal,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
27,Malick Thiaw,"€ 19,808","€ 1,030,000","€ 260,000","Aug 29, 2022","Jun 30, 2027",5.0,"€ 5,150,000",,D,CB,21.0,Reserve,Germany,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
28,Yacine Adli,"€ 19,808","€ 1,030,000",,"Aug 30, 2021","Jun 30, 2026",4.0,"€ 4,120,000",,F,AM,22.0,Reserve,France,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
29,Devis Vásquez,"€ 5,962","€ 310,000",,"Jan 3, 2023","Jun 30, 2026",4.0,"€ 1,240,000",,K,GK,24.0,Reserve,Colombia,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
30,Emil Roback,"€ 1,154","€ 60,000",,"May 10, 2021","Jun 30, 2025",3.0,"€ 180,000",,F,CF,19.0,Reserve,Sweden,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
31,Total,"€ 1,685,770","€ 87,660,000","€ 1,400,000",,,,"€ 276,770,000","€ 200,000,000",,,,,,,,Ac Milan,Serie A,2022-2023,,,,,,,,,,,,,,,,,
32,Merih Demiral,"€ 71,154","€ 3,700,000",,"Jun 18, 2022","Jun 30, 2026",4.0,"€ 14,800,000",,D,,24.0,Reserve,Turkey,,,Atalanta,Serie A,2022-2023,CB,,,,,,,,,,,,,,,,
33,Duván Zapata,"€ 64,038","€ 3,330,000",,"Jan 17, 2020","Jun 30, 2024",2.0,"€ 6,660,000",,F,,31.0,Starter,Colombia,,,Atalanta,Serie A,2022-2023,CF,,,,,,,,,,,,,,,,
34,Juan Musso,"€ 56,923","€ 2,960,000",,"Jul 2, 2021","Jun 30, 2025",3.0,"€ 8,880,000",,K,,28.0,Starter,Argentina,,,Atalanta,Serie A,2022-2023,GK,,,,,,,,,,,,,,,,
35,Jérémie Boga,"€ 53,462","€ 2,780,000",,"Jul 1, 2022","Jun 30, 2023",1.0,"€ 2,780,000",,F,,26.0,Reserve,Cote d'Ivoire,,,Atalanta,Serie A,2022-2023,LW,,,,,,,,,,,,,,,,
36,Éderson,"€ 49,231","€ 2,560,000",,"Jul 6, 2022","Jun 30, 2026",4.0,"€ 10,240,000",,M,,23.0,Reserve,Brazil,,,Atalanta,Serie A,2022-2023,CM,,,,,,,,,,,,,,,,
37,Luis Muriel,"€ 44,423","€ 2,310,000",,"Jul 1, 2019","Jun 30, 2023",1.0,"€ 2,310,000",,F,,31.0,Reserve,Colombia,,,Atalanta,Serie A,2022-2023,CF,,,,,,,,,,,,,,,,
38,Ademola Lookman,"€ 44,423","€ 2,310,000",,"Aug 4, 2022","Jun 30, 2026",4.0,"€ 9,240,000",,F,,25.0,Starter,Nigeria,,,Atalanta,Serie A,2022-2023,SS,,,,,,,,,,,,,,,,
39,Teun Koopmeiners,"€ 36,923","€ 1,920,000",,"Aug 30, 2021","Jun 30, 2025",3.0,"€ 5,760,000",,M,,24.0,Starter,Netherlands,,,Atalanta,Serie A,2022-2023,DM,,,,,,,,,,,,,,,,
40,Rafael Tolói,"€ 35,577","€ 1,850,000",,"Aug 26, 2015","Jun 30, 2024",2.0,"€ 3,700,000",,D,,32.0,Starter,Italy,,,Atalanta,Serie A,2022-2023,CB,,,,,,,,,,,,,,,,
41,Mario Pasalic,"€ 35,577","€ 1,850,000",,"Sep 1, 2020","Jun 30, 2025",3.0,"€ 5,550,000",,F,,27.0,Reserve,Croatia,,,Atalanta,Serie A,2022-2023,AM,,,,,,,,,,,,,,,,
42,Marten de Roon,"€ 35,577","€ 1,850,000",,"Aug 10, 2017","Jun 30, 2024",2.0,"€ 3,700,000",,M,,31.0,Starter,Netherlands,,,Atalanta,Serie A,2022-2023,DM,,,,,,,,,,,,,,,,
43,Davide Zappacosta,"€ 32,115","€ 1,670,000",,"Aug 24, 2021","Jun 30, 2025",3.0,"€ 5,010,000",,D,,30.0,Starter,Italy,,,Atalanta,Serie A,2022-2023,RB,,,,,,,,,,,,,,,,
44,Berat Djimsiti,"€ 28,462","€ 1,480,000",,"Mar 21, 2022","Jun 30, 2026",4.0,"€ 5,920,000",,D,,29.0,Starter,Albania,,,Atalanta,Serie A,2022-2023,CB,,,,,,,,,,,,,,,,
45,Hans Hateboer,"€ 28,462","€ 1,480,000",,"Jan 31, 2017","Jun 30, 2024",2.0,"€ 2,960,000",,D,,29.0,Reserve,Netherlands,,,Atalanta,Serie A,2022-2023,RB,,,,,,,,,,,,,,,,
46,José Luis Palomino,"€ 28,462","€ 1,480,000",,"Jul 1, 2017","Jun 30, 2023",1.0,"€ 1,480,000",,D,,33.0,Reserve,Argentina,,,Atalanta,Serie A,2022-2023,CB,,,,,,,,,,,,,,,,
47,Joakim Maehle,"€ 24,615","€ 1,280,000",,"Jan 4, 2021","Jun 30, 2025",3.0,"€ 3,840,000",,D,,25.0,Starter,Denmark,,,Atalanta,Serie A,2022-2023,LB,,,,,,,,,,,,,,,,
48,Marco Sportiello,"€ 21,346","€ 1,110,000",,"Jun 30, 2022","Jun 30, 2023",1.0,"€ 1,110,000",,K,,30.0,Reserve,Italy,,,Atalanta,Serie A,2022-2023,GK,,,,,,,,,,,,,,,,
49,Caleb Okoli,"€ 20,000","€ 1,040,000",,"Sep 1, 2020","Jun 30, 2026",4.0,"€ 4,160,000",,D,,21.0,Reserve,Italy,,,Atalanta,Serie A,2022-2023,CB,,,,,,,,,,,,,,,,
