,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,Pos. AMCBCFCMDMGKLBLWRBSS,Pos. CBCFCMDMGKLBLWRB,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2027",Years Remaining 1235,Pos. AMCBCFCMDMGKLBLMRBRW,Pos. AMCBCFCMDMGKLBLMRBRMSS,Pos. AMCBCFCMDMGKLBLMLWRBRMRW,Pos. CBCFCMDMGKLBLMLWRBRW,Pos. CBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBRBRWSS,Pos. AMCBCFCMDMGKLBLMLWRBRWSS,Pos. CBCFCMDMGKLBRBRM,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Pos. AMCBCFCMDMGKLBLMLWRBRW,Pos. AMCBCFCMDMGKLWRBRW,Pos. AMCBCFCMDMGKLBRBRW
97,Alex Ferrari,"€ 14,231","€ 740,000",,"Jan 2, 2023","Jun 30, 2023",1.0,"€ 740,000",,D,,28.0,Starter,Italy,,,Cremonese,Serie A,2022-2023,,CB,,,,,,,,,,,,,,,
98,Cristian Buonaiuto,"€ 12,500","€ 650,000",,"Feb 8, 2022","Jun 30, 2024",2.0,"€ 1,300,000",,F,,30.0,Reserve,Italy,,,Cremonese,Serie A,2022-2023,,LW,,,,,,,,,,,,,,,
99,Emanuel Aiwu,"€ 12,308","€ 640,000",,"Aug 5, 2022","Jun 30, 2026",4.0,"€ 2,560,000",,D,,22.0,Starter,Austria,,,Cremonese,Serie A,2022-2023,,CB,,,,,,,,,,,,,,,
100,Matteo Bianchetti,"€ 11,731","€ 610,000",,"Mar 9, 2022","Jun 30, 2025",3.0,"€ 1,830,000",,D,,29.0,Reserve,Italy,,,Cremonese,Serie A,2022-2023,,CB,,,,,,,,,,,,,,,
101,Pablo Galdames,"€ 8,654","€ 450,000",,"Jan 31, 2023","Jun 30, 2023",1.0,"€ 450,000",,M,,26.0,Reserve,Chile,,,Cremonese,Serie A,2022-2023,,DM,,,,,,,,,,,,,,,
102,Michele Castagnetti,"€ 7,885","€ 410,000",,"Dec 26, 2021","Jun 30, 2024",2.0,"€ 820,000",,M,,33.0,Reserve,Italy,,,Cremonese,Serie A,2022-2023,,DM,,,,,,,,,,,,,,,
103,Mouhamadou Sarr,"€ 7,115","€ 370,000",,"Aug 27, 2021","Jun 30, 2023",1.0,"€ 370,000",,K,,26.0,Reserve,Senegal,,,Cremonese,Serie A,2022-2023,,GK,,,,,,,,,,,,,,,
104,Felix Afena-Gyan,"€ 7,115","€ 370,000",,"Aug 29, 2022","Jun 30, 2023",1.0,"€ 370,000",,F,,20.0,Reserve,Ghana,,,Cremonese,Serie A,2022-2023,,CF,,,,,,,,,,,,,,,
105,Frank Tsadjout,"€ 7,115","€ 370,000",,"Jul 15, 2022","Jun 30, 2025",3.0,"€ 1,110,000",,F,,23.0,Reserve,Italy,,,Cremonese,Serie A,2022-2023,,CF,,,,,,,,,,,,,,,
106,Leonardo Sernicola,"€ 5,962","€ 310,000",,"Jul 8, 2022","Jun 30, 2023",1.0,"€ 310,000",,D,,25.0,Starter,Italy,,,Cremonese,Serie A,2022-2023,,RB,,,,,,,,,,,,,,,
107,Giacomo Quagliata,"€ 5,000","€ 260,000",,"Jul 26, 2022","Jun 30, 2026",4.0,"€ 1,040,000",,D,,22.0,Reserve,Italy,,,Cremonese,Serie A,2022-2023,,LB,,,,,,,,,,,,,,,
108,Marco Carnesecchi,"€ 3,654","€ 190,000",,"Aug 31, 2022","Jun 30, 2023",1.0,"€ 190,000",,K,,22.0,Starter,Italy,,,Cremonese,Serie A,2022-2023,,GK,,,,,,,,,,,,,,,
109,Gianluca Saro,"€ 2,885","€ 150,000",,"Aug 12, 2022","Jun 30, 2023",1.0,"€ 150,000",,K,,22.0,Reserve,Italy,,,Cremonese,Serie A,2022-2023,,GK,,,,,,,,,,,,,,,
110,Emanuele Valeri,"€ 2,115","€ 110,000",,"Sep 10, 2020","Jun 30, 2023",1.0,"€ 110,000",,D,,24.0,Reserve,Italy,,,Cremonese,Serie A,2022-2023,,LB,,,,,,,,,,,,,,,
111,Dorian Ciezkowski,"€ 1,346","€ 70,000",,"Jul 30, 2021","Jun 30, 2023",1.0,"€ 70,000",,K,,21.0,Reserve,Poland,,,Cremonese,Serie A,2022-2023,,GK,,,,,,,,,,,,,,,
112,Christian Acella,"€ 1,154","€ 60,000",,"Jul 1, 2021","Jun 30, 2023",1.0,"€ 60,000",,M,,20.0,Reserve,Italy,,,Cremonese,Serie A,2022-2023,,CM,,,,,,,,,,,,,,,
113,Johan Vásquez,€ 962,"€ 50,000",,"Jul 1, 2022","Jun 30, 2023",1.0,"€ 50,000",,D,,24.0,Starter,Mexico,,,Cremonese,Serie A,2022-2023,,CB,,,,,,,,,,,,,,,
114,Total,"€ 330,772","€ 17,200,000",€ 0,,,,"€ 34,290,000",€ 0,,,,,,,,Cremonese,Serie A,2022-2023,,,,,,,,,,,,,,,,,
115,Mattia Destro,"€ 53,462","€ 2,780,000",,"Jul 1, 2022",,,"€ 2,780,000",,F,CF,31.0,Reserve,Italy,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2023",1.0,,,,,,,,,,,,,
116,Sebastiano Luperto,"€ 46,346","€ 2,410,000",,"Jul 18, 2022",,,"€ 2,410,000",,D,CB,26.0,Starter,Italy,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2023",1.0,,,,,,,,,,,,,
117,Lorenzo Tonelli,"€ 35,577","€ 1,850,000",,"Aug 27, 2021",,,"€ 1,850,000",,D,CB,33.0,Reserve,Italy,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2023",1.0,,,,,,,,,,,,,
118,Nicolas Haas,"€ 32,115","€ 1,670,000",,"Nov 14, 2022",,,"€ 5,010,000",,M,CM,27.0,Reserve,Switzerland,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2025",3.0,,,,,,,,,,,,,
119,Ardian Ismajli,"€ 32,115","€ 1,670,000",,"Aug 9, 2021",,,"€ 5,010,000",,D,CB,26.0,Starter,Albania,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2025",3.0,,,,,,,,,,,,,
120,Alberto Grassi,"€ 32,115","€ 1,670,000",,"Aug 17, 2022",,,"€ 1,670,000",,M,CM,27.0,Reserve,Italy,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2023",1.0,,,,,,,,,,,,,
121,Francesco Caputo,"€ 28,462","€ 1,480,000",,"Jan 2, 2023",,,"€ 1,480,000",,F,CF,35.0,Starter,Italy,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2023",1.0,,,,,,,,,,,,,
122,Liam Henderson,"€ 28,462","€ 1,480,000",,"Aug 11, 2021",,,"€ 4,440,000",,M,CM,26.0,Reserve,Scotland,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2025",3.0,,,,,,,,,,,,,
123,Marko Pjaca,"€ 28,462","€ 1,480,000",,"Sep 1, 2022",,,"€ 1,480,000",,F,LW,27.0,Reserve,Croatia,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2023",1.0,,,,,,,,,,,,,
124,Razvan Marin,"€ 24,615","€ 1,280,000",,"Jul 5, 2022",,,"€ 1,280,000",,M,CM,26.0,Starter,Romania,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2023",1.0,,,,,,,,,,,,,
125,Filippo Bandinelli,"€ 21,346","€ 1,110,000",,"Oct 24, 2022",,,"€ 3,330,000",,M,CM,27.0,Starter,Italy,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2025",3.0,,,,,,,,,,,,,
126,Guglielmo Vicario,"€ 21,346","€ 1,110,000",,"Jul 1, 2022",,,"€ 1,110,000",,K,GK,26.0,Starter,Italy,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2023",1.0,,,,,,,,,,,,,
127,Jean-Daniel Akpa Akpro,"€ 17,885","€ 930,000",,"Sep 1, 2022",,,"€ 930,000",,M,CM,30.0,Starter,Cote d'Ivoire,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2023",1.0,,,,,,,,,,,,,
128,Martín Satriano,"€ 12,500","€ 650,000",,"Jul 4, 2022",,,"€ 650,000",,F,CF,21.0,Reserve,Uruguay,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2023",1.0,,,,,,,,,,,,,
129,Tyronne Ebuehi,"€ 12,308","€ 640,000",,"Jul 5, 2022",,,"€ 1,920,000",,D,RB,27.0,Starter,Nigeria,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2025",3.0,,,,,,,,,,,,,
130,Petar Stojanovic,"€ 12,308","€ 640,000",,"Jul 1, 2022",,,"€ 640,000",,D,RB,27.0,Reserve,Slovenia,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2023",1.0,,,,,,,,,,,,,
131,Roberto Piccoli,"€ 10,769","€ 560,000",,"Jan 31, 2023",,,"€ 1,120,000",,F,CF,22.0,Reserve,Italy,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2024",2.0,,,,,,,,,,,,,
132,Tommaso Baldanzi,"€ 10,769","€ 560,000",,"Oct 24, 2022",,,"€ 2,800,000",,F,AM,19.0,Starter,Italy,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2027",5.0,,,,,,,,,,,,,
133,Emanuel Vignato,"€ 10,769","€ 560,000",,"Jan 31, 2023",,,"€ 560,000",,F,RW,22.0,Reserve,Italy,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2023",1.0,,,,,,,,,,,,,
134,Samir Ujkani,"€ 8,846","€ 460,000",,"Aug 29, 2022",,,"€ 460,000",,K,GK,34.0,Reserve,Kosovo,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2023",1.0,,,,,,,,,,,,,
135,Sebastian Walukiewicz,"€ 7,308","€ 380,000",,"Sep 1, 2022",,,"€ 380,000",,D,CB,22.0,Reserve,Poland,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2023",1.0,,,,,,,,,,,,,
136,Samuele Perisan,"€ 7,115","€ 370,000",,"Jul 1, 2022",,,"€ 1,110,000",,K,GK,25.0,Reserve,Italy,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2025",3.0,,,,,,,,,,,,,
137,Liberato Cacace,"€ 5,577","€ 290,000",,"Jul 1, 2022",,,"€ 290,000",,D,LB,22.0,Reserve,New Zealand,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2023",1.0,,,,,,,,,,,,,
138,Fabiano Parisi,"€ 3,654","€ 190,000",,"Aug 8, 2022",,,"€ 570,000",,D,LB,22.0,Starter,Italy,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2025",3.0,,,,,,,,,,,,,
139,Nicolò Cambiaghi,"€ 2,885","€ 150,000",,"Aug 4, 2022",,,"€ 150,000",,F,LW,22.0,Starter,Italy,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2023",1.0,,,,,,,,,,,,,
140,Koni De Winter,"€ 2,885","€ 150,000",,"Jul 9, 2022",,,"€ 150,000",,D,CB,20.0,Reserve,Belgium,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2023",1.0,,,,,,,,,,,,,
141,Jacopo Fazzini,"€ 2,115","€ 110,000",,"Nov 14, 2022",,,"€ 550,000",,M,CM,19.0,Reserve,Italy,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2027",5.0,,,,,,,,,,,,,
142,Duccio Degli Innocenti,"€ 1,154","€ 60,000",,"Jul 1, 2022",,,"€ 60,000",,M,DM,19.0,Reserve,Italy,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2023",1.0,,,,,,,,,,,,,
143,Lovro Stubljar,€ 962,"€ 50,000",,"Jul 1, 2022",,,"€ 50,000",,K,GK,18.0,Reserve,Slovenia,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2023",1.0,,,,,,,,,,,,,
144,Gabriele Guarino,€ 769,"€ 40,000",,"Jul 1, 2022",,,"€ 40,000",,D,CB,18.0,Reserve,Italy,,,Empoli,Serie A,2022-2023,,,"Jun 30, 2023",1.0,,,,,,,,,,,,,
145,Total,"€ 515,001","€ 26,780,000",€ 0,,,,"€ 44,280,000",€ 0,,,,,,,,Empoli,Serie A,2022-2023,,,,,,,,,,,,,,,,,
146,Nikola Milenković,"€ 106,923","€ 5,560,000","€ 1,850,000","Aug 11, 2022","Jun 30, 2027",5.0,"€ 27,800,000",,D,CB,25.0,Starter,Serbia,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
147,Nicolás González,"€ 61,731","€ 3,210,000",,"Jul 1, 2021","Jun 30, 2026",4.0,"€ 12,840,000",,F,LW,24.0,Starter,Argentina,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
148,Luka Jović,"€ 61,731","€ 3,210,000",,"Jul 8, 2022","Jun 30, 2024",2.0,"€ 6,420,000",,F,CF,25.0,Reserve,Serbia,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
149,Rolando Mandragora,"€ 56,923","€ 2,960,000",,"Jul 4, 2022","Jun 30, 2026",4.0,"€ 11,840,000",,M,DM,25.0,Reserve,Italy,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
150,Antonin Barak,"€ 53,462","€ 2,780,000",,"Aug 26, 2022","Jun 30, 2027",5.0,"€ 13,900,000",,F,AM,28.0,Reserve,Czech Republic,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
151,Giacomo Bonaventura,"€ 53,462","€ 2,780,000","€ 740,000","Jan 14, 2023","Jun 30, 2024",2.0,"€ 5,560,000",,M,CM,33.0,Starter,Italy,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
152,Gaetano Castrovilli,"€ 49,808","€ 2,590,000",,"Oct 10, 2019","Jun 30, 2024",2.0,"€ 5,180,000",,M,CM,25.0,Reserve,Italy,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
153,Alfred Duncan,"€ 46,346","€ 2,410,000",,"Sep 1, 2020","Jun 30, 2024",2.0,"€ 4,820,000",,M,CM,29.0,Starter,Ghana,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
154,Christian Kouamé,"€ 42,692","€ 2,220,000",,"Sep 1, 2020","Jun 30, 2024",2.0,"€ 4,440,000",,F,CF,25.0,Starter,Cote d'Ivoire,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
155,Cristiano Biraghi,"€ 42,692","€ 2,220,000",,"Oct 27, 2020","Jun 30, 2024",2.0,"€ 4,440,000",,D,LB,30.0,Starter,Italy,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
156,Arthur Cabral,"€ 41,923","€ 2,180,000",,"Jan 29, 2022","Jun 30, 2026",4.0,"€ 8,720,000",,F,CF,24.0,Reserve,Brazil,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
157,Jonathan Ikoné,"€ 41,923","€ 2,180,000",,"Jan 3, 2022","Jun 30, 2026",4.0,"€ 8,720,000",,F,RW,24.0,Starter,France,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
158,Josip Brekalo,"€ 39,423","€ 2,050,000",,"Jan 28, 2023","Jun 30, 2026",4.0,"€ 8,200,000",,F,LW,24.0,Reserve,Croatia,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
159,Sofyan Amrabat,"€ 36,923","€ 1,920,000",,"Jan 30, 2020","Jun 30, 2024",2.0,"€ 3,840,000",,M,DM,26.0,Starter,Morocco,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
160,Dodô,"€ 36,923","€ 1,920,000",,"Jul 22, 2022","Jun 30, 2027",5.0,"€ 9,600,000",,D,RB,24.0,Starter,Brazil,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
161,Pietro Terracciano,"€ 28,462","€ 1,480,000",,"Oct 8, 2022","Jun 30, 2025",3.0,"€ 4,440,000",,K,GK,32.0,Starter,Italy,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
162,Salvatore Sirigu,"€ 25,000","€ 1,300,000",,"Jan 25, 2023","Jun 30, 2023",1.0,"€ 1,300,000",,K,GK,36.0,Reserve,Italy,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
163,Riccardo Saponara,"€ 24,615","€ 1,280,000",,"Jun 30, 2022","Jun 30, 2023",1.0,"€ 1,280,000",,F,AM,31.0,Reserve,Italy,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
164,Lucas Martínez Quarta,"€ 24,615","€ 1,280,000",,"Oct 5, 2020","Jun 30, 2025",3.0,"€ 3,840,000",,D,CB,26.0,Reserve,Argentina,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
165,Luca Ranieri,"€ 21,346","€ 1,110,000",,"Jul 1, 2018","Jun 30, 2024",2.0,"€ 2,220,000",,D,LB,23.0,Reserve,Italy,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
166,Riccardo Sottil,"€ 21,346","€ 1,110,000",,"Oct 13, 2021","Jun 30, 2026",4.0,"€ 4,440,000",,F,LW,23.0,Reserve,Italy,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
167,Igor,"€ 17,308","€ 900,000",,"Jul 1, 2021","Jun 30, 2024",2.0,"€ 1,800,000",,D,CB,24.0,Starter,Brazil,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
168,Lorenzo Venuti,"€ 14,231","€ 740,000",,"Oct 18, 2019","Jun 30, 2024",2.0,"€ 1,480,000",,D,RB,27.0,Reserve,Italy,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
169,Aleksa Terzić,"€ 7,308","€ 380,000",,"Jul 1, 2019","Jun 30, 2024",2.0,"€ 760,000",,D,LB,23.0,Reserve,Serbia,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
170,Michele Cerofolini,"€ 7,115","€ 370,000",,"Oct 28, 2022","Jun 30, 2024",2.0,"€ 740,000",,K,GK,24.0,Reserve,Italy,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
171,Alessandro Bianco,"€ 3,654","€ 190,000",,"Aug 19, 2022","Jun 30, 2026",4.0,"€ 760,000",,M,CM,20.0,Reserve,Italy,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
172,Total,"€ 967,885","€ 50,330,000","€ 2,590,000",,,,"€ 159,380,000",€ 0,,,,,,,,Fiorentina,Serie A,2022-2023,,,,,,,,,,,,,,,,,
173,Simone Verdi,"€ 60,577","€ 3,150,000",,"Sep 1, 2022","Jun 30, 2023",1.0,"€ 3,150,000",,F,,30.0,Reserve,Italy,,,Hellas Verona,Serie A,2022-2023,,,,,AM,,,,,,,,,,,,
174,Kevin Lasagna,"€ 25,000","€ 1,300,000",,"Jul 1, 2021","Jun 30, 2025",3.0,"€ 3,900,000",,F,,30.0,Starter,Italy,,,Hellas Verona,Serie A,2022-2023,,,,,CF,,,,,,,,,,,,
175,Adolfo Gaich,"€ 23,654","€ 1,230,000",,"Jan 30, 2023","Jun 30, 2023",1.0,"€ 1,230,000",,F,,23.0,Reserve,Argentina,,,Hellas Verona,Serie A,2022-2023,,,,,CF,,,,,,,,,,,,
176,Giangiacomo Magnani,"€ 21,346","€ 1,110,000",,"Jul 1, 2021","Jun 30, 2025",3.0,"€ 3,330,000",,D,,27.0,Starter,Italy,,,Hellas Verona,Serie A,2022-2023,,,,,CB,,,,,,,,,,,,
177,Darko Lazović,"€ 21,346","€ 1,110,000",,"May 28, 2021","Jun 30, 2024",2.0,"€ 2,220,000",,M,,32.0,Starter,Serbia,,,Hellas Verona,Serie A,2022-2023,,,,,LM,,,,,,,,,,,,
178,Ondrej Duda,"€ 21,154","€ 1,100,000",,"Jan 29, 2023","Jun 30, 2023",1.0,"€ 1,100,000",,F,,28.0,Starter,Slovakia,,,Hellas Verona,Serie A,2022-2023,,,,,AM,,,,,,,,,,,,
179,Thomas Henry,"€ 19,808","€ 1,030,000",,"Jul 16, 2022","Jun 30, 2026",4.0,"€ 4,120,000",,F,,28.0,Reserve,France,,,Hellas Verona,Serie A,2022-2023,,,,,CF,,,,,,,,,,,,
180,Federico Ceccherini,"€ 17,885","€ 930,000",,"Jul 1, 2021","Jun 30, 2024",2.0,"€ 1,860,000",,D,,30.0,Starter,Italy,,,Hellas Verona,Serie A,2022-2023,,,,,CB,,,,,,,,,,,,
181,Davide Faraoni,"€ 17,885","€ 930,000",,"Oct 5, 2022","Jun 30, 2025",3.0,"€ 2,790,000",,D,,31.0,Reserve,Italy,,,Hellas Verona,Serie A,2022-2023,,,,,RB,,,,,,,,,,,,
182,Miguel Veloso,"€ 17,885","€ 930,000",,"Apr 13, 2022","Jun 30, 2023",1.0,"€ 930,000",,M,,36.0,Reserve,Portugal,,,Hellas Verona,Serie A,2022-2023,,,,,DM,,,,,,,,,,,,
183,Milan Djuric,"€ 17,308","€ 900,000",,"Jul 1, 2022","Jun 30, 2025",3.0,"€ 2,700,000",,F,,32.0,Reserve,Bosnia-Herzegovina,,,Hellas Verona,Serie A,2022-2023,,,,,CF,,,,,,,,,,,,
184,Isak Hien,"€ 14,808","€ 770,000",,"Aug 27, 2022","Jun 30, 2026",4.0,"€ 3,080,000",,D,,24.0,Starter,Sweden,,,Hellas Verona,Serie A,2022-2023,,,,,CB,,,,,,,,,,,,
185,Oliver Abildgaard,"€ 13,654","€ 710,000",,"Jan 31, 2023","Jun 30, 2023",1.0,"€ 710,000",,M,,26.0,Reserve,Denmark,,,Hellas Verona,Serie A,2022-2023,,,,,DM,,,,,,,,,,,,
186,Fabio Depaoli,"€ 12,500","€ 650,000",,"Sep 1, 2022","Jun 30, 2023",1.0,"€ 650,000",,D,,25.0,Starter,Italy,,,Hellas Verona,Serie A,2022-2023,,,,,RB,,,,,,,,,,,,
187,Adrien Tamèze,"€ 12,308","€ 640,000",,"Sep 3, 2020","Jun 30, 2024",2.0,"€ 1,280,000",,M,,28.0,Starter,Cameroon,,,Hellas Verona,Serie A,2022-2023,,,,,DM,,,,,,,,,,,,
188,Josh Doig,"€ 12,308","€ 640,000",,"Jul 13, 2022","Jun 30, 2026",4.0,"€ 2,560,000",,D,,20.0,Starter,Scotland,,,Hellas Verona,Serie A,2022-2023,,,,,LB,,,,,,,,,,,,
189,Deyovaisio Zeefuik,"€ 11,538","€ 600,000",,"Jan 16, 2023","Jun 30, 2023",1.0,"€ 600,000",,D,,24.0,Reserve,Netherlands,,,Hellas Verona,Serie A,2022-2023,,,,,RB,,,,,,,,,,,,
190,Lorenzo Montipò,"€ 9,615","€ 500,000",,"Jul 1, 2022","Jun 30, 2025",3.0,"€ 1,500,000",,K,,26.0,Starter,Italy,,,Hellas Verona,Serie A,2022-2023,,,,,GK,,,,,,,,,,,,
191,Yayah Kallon,"€ 8,846","€ 460,000",,"Aug 26, 2022","Jun 30, 2023",1.0,"€ 460,000",,F,,21.0,Reserve,Sierra Leone,,,Hellas Verona,Serie A,2022-2023,,,,,RW,,,,,,,,,,,,
192,Diego Coppola,"€ 8,846","€ 460,000",,"Apr 20, 2022","Jun 30, 2027",5.0,"€ 2,300,000",,D,,19.0,Reserve,Italy,,,Hellas Verona,Serie A,2022-2023,,,,,CB,,,,,,,,,,,,
193,Alessandro Berardi,"€ 8,846","€ 460,000",,"Oct 11, 2022","Jun 30, 2025",3.0,"€ 1,380,000",,K,,32.0,Reserve,Italy,,,Hellas Verona,Serie A,2022-2023,,,,,GK,,,,,,,,,,,,
194,Simone Perilli,"€ 8,846","€ 460,000",,"Aug 3, 2022","Jun 30, 2024",2.0,"€ 920,000",,K,,28.0,Reserve,Italy,,,Hellas Verona,Serie A,2022-2023,,,,,GK,,,,,,,,,,,,
195,Juan Cabal,"€ 8,654","€ 450,000",,"Aug 20, 2022","Jun 30, 2027",5.0,"€ 2,250,000",,D,,22.0,Reserve,Colombia,,,Hellas Verona,Serie A,2022-2023,,,,,CB,,,,,,,,,,,,
196,Pawel Dawidowicz,"€ 7,308","€ 380,000",,"May 28, 2021","Jun 30, 2025",3.0,"€ 1,140,000",,D,,27.0,Reserve,Poland,,,Hellas Verona,Serie A,2022-2023,,,,,CB,,,,,,,,,,,,
197,Ajdin Hrustic,"€ 7,308","€ 380,000",,"Sep 1, 2022","Jun 30, 2026",4.0,"€ 1,520,000",,F,,26.0,Reserve,Australia,,,Hellas Verona,Serie A,2022-2023,,,,,AM,,,,,,,,,,,,
198,Cyril Ngonge,"€ 6,154","€ 320,000",,"Jan 19, 2023","Jun 30, 2023",1.0,"€ 320,000",,F,,22.0,Starter,Belgium,,,Hellas Verona,Serie A,2022-2023,,,,,RW,,,,,,,,,,,,
199,Jayden Braaf,"€ 3,654","€ 190,000",,"Jan 16, 2023","Jun 30, 2023",1.0,"€ 190,000",,F,,20.0,Reserve,Netherlands,,,Hellas Verona,Serie A,2022-2023,,,,,CF,,,,,,,,,,,,
200,Filippo Terracciano,"€ 1,731","€ 90,000",,"Aug 4, 2022","Jun 30, 2026",4.0,"€ 360,000",,M,,19.0,Reserve,Italy,,,Hellas Verona,Serie A,2022-2023,,,,,CM,,,,,,,,,,,,
201,Ibrahim Sulemana,"€ 1,346","€ 70,000",,"Jul 1, 2022","Jun 30, 2023",1.0,"€ 70,000",,M,,19.0,Reserve,Ghana,,,Hellas Verona,Serie A,2022-2023,,,,,DM,,,,,,,,,,,,
202,Total,"€ 422,118","€ 21,950,000",€ 0,,,,"€ 48,620,000",€ 0,,,,,,,,Hellas Verona,Serie A,2022-2023,,,,,,,,,,,,,,,,,
203,Lautaro Martínez,"€ 213,654","€ 11,110,000",,"Oct 28, 2021","Jun 30, 2026",4.0,"€ 44,440,000",,F,,25.0,Reserve,Argentina,,,Inter Milan,Serie A,2022-2023,,,,,,CF,,,,,,,,,,,
204,Marcelo Brozovic,"€ 213,654","€ 11,110,000",,"Mar 23, 2022","Jun 30, 2026",4.0,"€ 44,440,000",,M,,30.0,Starter,Croatia,,,Inter Milan,Serie A,2022-2023,,,,,,DM,,,,,,,,,,,
205,Romelu Lukaku,"€ 209,615","€ 10,900,000",,"Jul 1, 2022","Jun 30, 2023",1.0,"€ 10,900,000",,F,,29.0,Reserve,Belgium,,,Inter Milan,Serie A,2022-2023,,,,,,CF,,,,,,,,,,,
206,Hakan Calhanoglu,"€ 178,077","€ 9,260,000",,"Jul 1, 2021","Jun 30, 2024",2.0,"€ 18,520,000",,M,,28.0,Starter,Turkey,,,Inter Milan,Serie A,2022-2023,,,,,,CM,,,,,,,,,,,
207,Nicolò Barella,"€ 178,077","€ 9,260,000",,"Nov 5, 2021","Jun 30, 2026",4.0,"€ 37,040,000",,M,,25.0,Starter,Italy,,,Inter Milan,Serie A,2022-2023,,,,,,CM,,,,,,,,,,,
208,Edin Dzeko,"€ 178,077","€ 9,260,000",,"Aug 14, 2021","Jun 30, 2023",1.0,"€ 9,260,000",,F,,36.0,Starter,Bosnia-Herzegovina,,,Inter Milan,Serie A,2022-2023,,,,,,CF,,,,,,,,,,,
209,Stefan de Vrij,"€ 135,385","€ 7,040,000",,"Jul 1, 2018","Jun 30, 2023",1.0,"€ 7,040,000",,D,,30.0,Starter,Netherlands,,,Inter Milan,Serie A,2022-2023,,,,,,CB,,,,,,,,,,,
