,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Dec 31, 2023Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Pos. AMCBCFCMDMGKLBLWRBRWSS,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Pos. AMCBCFCMDMGKLBLWRBRMRW,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2027",Years Remaining 1235,Pos. AMCBCFCMDMGKLBLWRBRM,Pos. CBCFCMDMGKLBLWRBRWSS,Pos. AMCBCFCMGKLBLWRBSS,Pos. AMCBCFCMDMGKLBRBRWSS,Pos. AMCBCFCMDMGKLBRBSS,Pos. AMCBCFCMDMGKLBLMLWRBRWSS
87,Paul Wanner,"€ 1,154","€ 60,000",,"Jan 31, 2022",,5.0,"€ 300,000",,F,,17.0,Reserve,Austria,,,Bayern Munich,Bundesliga,2022-2023,,,"Jun 30, 2027",AM,,,,,,,,,,,
88,Marcel Sabitzer,€ 0,€ 0,,"Aug 30, 2021",,3.0,€ 0,,M,,28.0,Reserve,Austria,,,Bayern Munich,Bundesliga,2022-2023,,,"Jun 30, 2025",CM,,,,,,,,,,,
89,Arijon Ibrahimovic,€ 0,€ 0,,"Jan 17, 2023",,3.0,€ 0,,F,,17.0,Reserve,Germany,,,Bayern Munich,Bundesliga,2022-2023,,,"Jun 30, 2025",AM,,,,,,,,,,,
90,Total,"€ 5,222,116","€ 271,550,000","€ 3,500,000",,,,"€ 865,950,000",€ 0,,,,,,,,Bayern Munich,Bundesliga,2022-2023,,,,,,,,,,,,,,,
91,Manuel Riemann,"€ 23,654","€ 1,230,000",,"Jun 9, 2022",,,"€ 3,690,000",,K,GK,34.0,Starter,Germany,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,,
92,Dominique Heintz,"€ 23,077","€ 1,200,000",,"Aug 11, 2022",,,"€ 1,200,000",,D,CB,29.0,Reserve,Germany,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,,
93,Ivan Ordets,"€ 20,000","€ 1,040,000",,"Jul 10, 2022",,,"€ 1,040,000",,D,CB,30.0,Starter,Ukraine,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,,
94,Anthony Losilla,"€ 17,692","€ 920,000",,"Jan 18, 2023",,,"€ 1,840,000",,M,DM,36.0,Starter,France,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,,
95,Philipp Förster,"€ 16,154","€ 840,000",,"Jul 1, 2022",,,"€ 1,680,000",,F,AM,27.0,Starter,Germany,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,,
96,Kevin Stöger,"€ 15,000","€ 780,000",,"Jul 1, 2022",,,"€ 1,560,000",,F,AM,29.0,Reserve,Austria,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,,
97,Michael Esser,"€ 15,000","€ 780,000",,"Dec 21, 2022",,,"€ 1,560,000",,K,GK,35.0,Reserve,Germany,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,,
98,Konstantinos Stafylidis,"€ 14,231","€ 740,000",,"Jul 6, 2022",,,"€ 740,000",,D,LB,29.0,Starter,Greece,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,,
99,Erhan Masovic,"€ 12,308","€ 640,000",,"Dec 17, 2021",,,"€ 1,920,000",,D,CB,24.0,Starter,Serbia,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,,
100,Marko Johansson,"€ 12,115","€ 630,000",,"Sep 1, 2022",,,"€ 630,000",,K,GK,24.0,Reserve,Sweden,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,,
101,Keven Schlotterbeck,"€ 10,385","€ 540,000",,"Jan 2, 2023",,,"€ 540,000",,D,CB,25.0,Reserve,Germany,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,,
102,Patrick Osterhage,"€ 10,000","€ 520,000",,"Nov 23, 2022",,,"€ 2,080,000",,M,CM,23.0,Reserve,Germany,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2026",4.0,,,,,,,,,
103,Cristian Gamboa,"€ 9,038","€ 470,000",,"Jul 7, 2022",,,"€ 940,000",,D,RB,33.0,Reserve,Costa Rica,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,,
104,Gerrit Holtmann,"€ 8,654","€ 450,000",,"Jul 21, 2022",,,"€ 1,350,000",,F,LW,27.0,Reserve,Philippines,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,,
105,Simon Zoller,"€ 8,462","€ 440,000",,"Aug 27, 2021",,,"€ 880,000",,F,CF,31.0,Starter,Germany,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,,
106,Danilo Soares,"€ 8,269","€ 430,000",,"Jul 4, 2020",,,"€ 860,000",,D,LB,31.0,Reserve,Brazil,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,,
107,Vasilios Lampropoulos,"€ 7,692","€ 400,000",,"Jun 10, 2022",,,"€ 400,000",,D,CB,32.0,Reserve,Greece,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,,
108,Jacek Goralski,"€ 7,500","€ 390,000",,"Jul 1, 2022",,,"€ 780,000",,M,DM,30.0,Reserve,Poland,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,,
109,Jordi Osei-Tutu,"€ 7,500","€ 390,000",,"Jul 1, 2022",,,"€ 1,170,000",,D,RB,24.0,Reserve,England,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,,
110,Philipp Hofmann,"€ 7,500","€ 390,000",,"Jul 1, 2022",,,"€ 780,000",,F,CF,29.0,Starter,Germany,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,,
111,Saidy Janko,"€ 4,808","€ 250,000",,"Jul 1, 2022",,,"€ 250,000",,D,RB,27.0,Starter,The Gambia,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,,
112,Silvère Ganvoula,"€ 4,423","€ 230,000",,"Jul 5, 2019",,,"€ 230,000",,F,CF,26.0,Reserve,Congo,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,,
113,Paul Grave,"€ 3,269","€ 170,000",,"Mar 2, 2019",,,"€ 170,000",,K,GK,21.0,Reserve,Germany,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,,
114,Takuma Asano,€ 962,"€ 50,000",,"Jul 1, 2021",,,"€ 100,000",,F,RW,28.0,Reserve,Japan,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,,
115,Mohammed Tolba,€ 962,"€ 50,000",,"Jan 26, 2023",,,"€ 150,000",,D,CB,18.0,Reserve,Germany,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,,
116,Christopher Antwi-Adjei,€ 577,"€ 30,000",,"Jul 1, 2021",,,"€ 60,000",,F,LW,28.0,Starter,Ghana,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,,
117,Pierre Kunde Malong,€ 0,€ 0,,"Jan 6, 2023",,,€ 0,,M,CM,27.0,Starter,Cameroon,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,,
118,Moritz Broschinski,€ 0,€ 0,,"Jan 22, 2023",,,€ 0,,F,CF,22.0,Reserve,Germany,,,Bochum,Bundesliga,2022-2023,,,,,"Jun 30, 2026",4.0,,,,,,,,,
119,Total,"€ 269,232","€ 14,000,000",€ 0,,,,"€ 26,600,000",€ 0,,,,,,,,Bochum,Bundesliga,2022-2023,,,,,,,,,,,,,,,
120,Niklas Süle,"€ 362,885","€ 18,870,000",,"Jul 1, 2022",,4.0,"€ 75,480,000",,D,CB,27.0,Starter,Germany,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,,,
121,Sébastien Haller,"€ 211,538","€ 11,000,000",,"Jul 6, 2022",,4.0,"€ 44,000,000",,F,CF,28.0,Reserve,Cote d'Ivoire,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,,,
122,Marco Reus,"€ 211,538","€ 11,000,000",,"Mar 9, 2018",,1.0,"€ 11,000,000",,F,AM,33.0,Starter,Germany,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,
123,Thomas Meunier,"€ 192,308","€ 10,000,000",,"Jul 1, 2020",,2.0,"€ 20,000,000",,D,RB,31.0,Reserve,Belgium,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,,,,,,
124,Mats Hummels,"€ 192,308","€ 10,000,000",,"Jul 1, 2019",,1.0,"€ 10,000,000",,D,CB,34.0,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,
125,Emre Can,"€ 169,231","€ 8,800,000",,"Jul 1, 2020",,2.0,"€ 17,600,000",,M,DM,29.0,Starter,Germany,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,,,,,,
126,Anthony Modeste,"€ 115,385","€ 6,000,000",,"Aug 8, 2022",,1.0,"€ 6,000,000",,F,CF,34.0,Reserve,France,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,
127,Karim Adeyemi,"€ 96,154","€ 5,000,000","€ 1,000,000","Jul 1, 2022",,5.0,"€ 25,000,000",,F,RW,21.0,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2027",,,,,,,,,,,,
128,Nico Schlotterbeck,"€ 90,769","€ 4,720,000",,"Jul 1, 2022",,5.0,"€ 23,600,000",,D,CB,23.0,Starter,Germany,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2027",,,,,,,,,,,,
129,Donyell Malen,"€ 86,538","€ 4,500,000",,"Jul 27, 2021",,4.0,"€ 18,000,000",,F,LW,24.0,Reserve,Netherlands,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,,,
130,Julian Brandt,"€ 76,923","€ 4,000,000",,"Jul 1, 2019",,2.0,"€ 8,000,000",,F,AM,26.0,Starter,Germany,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,,,,,,
131,Mahmoud Dahoud,"€ 76,923","€ 4,000,000",,"Jul 29, 2021",,1.0,"€ 4,000,000",,M,CM,27.0,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,
132,Salih Özcan,"€ 72,692","€ 3,780,000",,"Jul 1, 2022",,4.0,"€ 15,120,000",,M,DM,25.0,Reserve,Turkey,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,,,
133,Raphaël Guerreiro,"€ 67,308","€ 3,500,000",,"Oct 17, 2019",,1.0,"€ 3,500,000",,D,LB,29.0,Starter,Portugal,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,
134,Marius Wolf,"€ 63,462","€ 3,300,000",,"Jul 2, 2018",,2.0,"€ 6,600,000",,D,RB,27.0,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,,,,,,
135,Youssoufa Moukoko,"€ 57,692","€ 3,000,000","€ 3,000,000","Jan 21, 2023",,4.0,"€ 12,000,000",,F,CF,18.0,Starter,Germany,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,,,
136,Julian Ryerson,"€ 39,231","€ 2,040,000",,"Jan 17, 2023",,4.0,"€ 8,160,000",,D,RB,25.0,Starter,Norway,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,,,
137,Gregor Kobel,"€ 39,231","€ 2,040,000",,"Jul 1, 2021",,4.0,"€ 8,160,000",,K,GK,25.0,Starter,Switzerland,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,,,
138,Jude Bellingham,"€ 30,769","€ 1,600,000",,"Jun 29, 2021",,3.0,"€ 4,800,000",,M,CM,19.0,Starter,England,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,,,
139,Nico Schulz,"€ 25,000","€ 1,300,000",,"Jul 1, 2019",,2.0,"€ 2,600,000",,D,LB,29.0,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,,,,,,
140,Soumaïla Coulibaly,"€ 20,192","€ 1,050,000",,"Jul 1, 2021",,2.0,"€ 2,100,000",,D,CB,19.0,Reserve,France,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,,,,,,
141,Felix Passlack,"€ 17,115","€ 890,000",,"May 6, 2021",,1.0,"€ 890,000",,D,RB,24.0,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,
142,Mateu Morey Bauzà,"€ 13,846","€ 720,000",,"Jul 1, 2019",,2.0,"€ 1,440,000",,D,RB,22.0,Reserve,Spain,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,,,,,,
143,Alexander Meyer,"€ 10,962","€ 570,000",,"Jul 1, 2022",,2.0,"€ 1,140,000",,K,GK,31.0,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,,,,,,
144,Jamie Bynoe-Gittens,"€ 5,769","€ 300,000",,"Aug 16, 2022",,3.0,"€ 900,000",,F,RW,18.0,Reserve,England,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,,,
145,Abdoulaye Kamara,"€ 2,885","€ 150,000",,,,2.0,"€ 300,000",,M,DM,18.0,Reserve,France,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,,,,,,
146,Antonios Papadopoulos,"€ 2,885","€ 150,000",,,,2.0,"€ 300,000",,D,CB,23.0,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,,,,,,
147,Giovanni Reyna,"€ 2,500","€ 130,000",,"Nov 20, 2020",,3.0,"€ 390,000",,F,AM,20.0,Starter,United States,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,,,
148,Marcel Lotka,"€ 2,308","€ 120,000",,"Jul 1, 2022",,2.0,"€ 240,000",,K,GK,21.0,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,,,,,,
149,Tom Rothe,"€ 1,538","€ 80,000",,"Jul 1, 2022",,2.0,"€ 160,000",,D,LB,18.0,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,,,,,,
150,Göktan Gürpüz,"€ 1,154","€ 60,000",,,,3.0,"€ 180,000",,F,AM,20.0,Reserve,Turkey,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,,,
151,Luca Unbehaun,€ 962,"€ 50,000",,"Feb 22, 2022",,1.0,"€ 50,000",,K,GK,21.0,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,
152,Julien Duranville,€ 0,€ 0,,"Jan 27, 2023",,1.0,€ 0,,F,RW,16.0,Reserve,Belgium,,,Borussia Dortmund,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,
153,Total,"€ 2,360,001","€ 122,720,000","€ 4,000,000",,,,"€ 331,710,000",€ 0,,,,,,,,Borussia Dortmund,Bundesliga,2022-2023,,,,,,,,,,,,,,,
154,Kevin Trapp,"€ 67,308","€ 3,500,000",,"Feb 3, 2023",,2.0,"€ 7,000,000",,K,,32.0,Starter,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,GK,,,,,,,,
155,Mario Götze,"€ 67,308","€ 3,500,000","€ 1,500,000","Jul 1, 2022",,3.0,"€ 10,500,000",,F,,30.0,Starter,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,AM,,,,,,,,
156,Santos Borré,"€ 48,077","€ 2,500,000",,"Jul 5, 2021",,3.0,"€ 7,500,000",,F,,27.0,Reserve,Colombia,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,CF,,,,,,,,
157,Lucas Alario,"€ 48,077","€ 2,500,000",,"Jul 1, 2022",,3.0,"€ 7,500,000",,F,,30.0,Reserve,Argentina,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,CF,,,,,,,,
158,Sebastian Rode,"€ 40,385","€ 2,100,000",,"Jul 27, 2019",,2.0,"€ 4,200,000",,M,,32.0,Reserve,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,CM,,,,,,,,
159,Djibril Sow,"€ 39,808","€ 2,070,000",,"Jul 1, 2019",,2.0,"€ 4,140,000",,M,,25.0,Starter,Switzerland,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,CM,,,,,,,,
160,Daichi Kamada,"€ 38,462","€ 2,000,000",,"Sep 16, 2020",,1.0,"€ 2,000,000",,F,,26.0,Starter,Japan,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,AM,,,,,,,,
161,Philipp Max,"€ 38,269","€ 1,990,000",,"Jan 31, 2023",,1.0,"€ 1,990,000",,D,,29.0,Starter,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,LB,,,,,,,,
162,Almamy Touré,"€ 32,692","€ 1,700,000",,"Jan 31, 2019",,1.0,"€ 1,700,000",,D,,26.0,Reserve,Mali,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,CB,,,,,,,,
163,Jesper Lindström,"€ 31,538","€ 1,640,000",,"Jul 11, 2021",,4.0,"€ 6,560,000",,F,,22.0,Starter,Denmark,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,AM,,,,,,,,
164,Randal Kolo Muani,"€ 28,846","€ 1,500,000",,"Jul 1, 2022",,5.0,"€ 7,500,000",,F,,24.0,Starter,France,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2027",,,,CF,,,,,,,,
165,Timothy Chandler,"€ 26,923","€ 1,400,000",,"May 6, 2021",,3.0,"€ 4,200,000",,D,,32.0,Reserve,United States,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,RB,,,,,,,,
166,Makoto Hasebe,"€ 26,923","€ 1,400,000",,"Feb 18, 2022",,1.0,"€ 1,400,000",,D,,39.0,Starter,Japan,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,CB,,,,,,,,
167,Evan N'Dicka,"€ 23,077","€ 1,200,000",,"Jul 5, 2018",,1.0,"€ 1,200,000",,D,,23.0,Starter,France,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,CB,,,,,,,,
168,Christopher Lenz,"€ 13,846","€ 720,000",,"Jul 1, 2021",,2.0,"€ 1,440,000",,D,,28.0,Reserve,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,LB,,,,,,,,
169,Aurélio Buta,"€ 9,231","€ 480,000",,"Jul 1, 2022",,4.0,"€ 1,920,000",,D,,25.0,Starter,Portugal,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,RB,,,,,,,,
170,Faride Alidou,"€ 8,077","€ 420,000",,"Jul 1, 2022",,4.0,"€ 1,680,000",,F,,21.0,Reserve,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,LW,,,,,,,,
171,Éric Ebimbe,"€ 8,077","€ 420,000",,"Aug 21, 2022",,1.0,"€ 420,000",,M,,22.0,Reserve,France,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,RM,,,,,,,,
172,Jens Grahl,"€ 6,731","€ 350,000",,"Feb 2, 2023",,2.0,"€ 700,000",,K,,34.0,Reserve,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,GK,,,,,,,,
173,Kristijan Jakic,"€ 5,769","€ 300,000",,"Jul 1, 2022",,4.0,"€ 1,200,000",,M,,25.0,Reserve,Croatia,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,DM,,,,,,,,
174,Marcel Wenig,"€ 5,769","€ 300,000",,"Jul 1, 2022",,3.0,"€ 900,000",,M,,18.0,Reserve,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,CM,,,,,,,,
175,Tuta,"€ 4,038","€ 210,000",,"May 17, 2022",,4.0,"€ 840,000",,D,,23.0,Starter,Brazil,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,CB,,,,,,,,
176,Diant Ramaj,"€ 3,846","€ 200,000",,"May 24, 2022",,5.0,"€ 1,000,000",,K,,21.0,Reserve,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2027",,,,GK,,,,,,,,
177,Ansgar Knauff,"€ 3,077","€ 160,000",,"Jan 20, 2022",,1.0,"€ 160,000",,F,,21.0,Reserve,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,RW,,,,,,,,
178,Hrvoje Smolcic,"€ 2,885","€ 150,000",,"Jul 1, 2022",,5.0,"€ 750,000",,D,,22.0,Reserve,Croatia,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2027",,,,CB,,,,,,,,
179,Mehdi Loune,"€ 2,308","€ 120,000",,"May 10, 2022",,3.0,"€ 360,000",,M,,18.0,Reserve,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,CM,,,,,,,,
180,Jan Schröder,€ 769,"€ 40,000",,"Aug 20, 2021",,1.0,"€ 40,000",,D,,19.0,Reserve,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,LB,,,,,,,,
181,Nacho Ferri,€ 0,€ 0,,"Oct 5, 2022",,3.0,€ 0,,F,,18.0,Reserve,Spain,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,CF,,,,,,,,
182,Simon Simoni,€ 0,€ 0,,"Jan 1, 2023",,5.0,€ 0,,K,,18.0,Reserve,Albania,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2027",,,,GK,,,,,,,,
183,Paxten Aaronson,€ 0,€ 0,,"Jan 1, 2023",,5.0,€ 0,,F,,19.0,Reserve,United States,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,"Jun 30, 2027",,,,AM,,,,,,,,
184,Total,"€ 632,116","€ 32,870,000","€ 1,500,000",,,,"€ 78,800,000",€ 0,,,,,,,,Eintracht Frankfurt,Bundesliga,2022-2023,,,,,,,,,,,,,,,
185,Matthias Ginter,"€ 145,192","€ 7,550,000",,"Jul 1, 2022",,,"€ 37,750,000",,D,,29.0,Starter,Germany,,,Freiburg,Bundesliga,2022-2023,,,,CB,,,,"Jun 30, 2027",5.0,,,,,,
186,Michael Gregoritsch,"€ 21,923","€ 1,140,000",,"Jul 8, 2022",,,"€ 1,140,000",,F,,28.0,Starter,Austria,,,Freiburg,Bundesliga,2022-2023,,,,CF,,,,"Jun 30, 2023",1.0,,,,,,
187,Vincenzo Grifo,"€ 18,269","€ 950,000",,"Jul 7, 2022",,,"€ 950,000",,F,,29.0,Starter,Italy,,,Freiburg,Bundesliga,2022-2023,,,,LW,,,,"Jun 30, 2023",1.0,,,,,,
188,Ritsu Doan,"€ 18,077","€ 940,000",,"Jul 5, 2022",,,"€ 940,000",,F,,24.0,Starter,Japan,,,Freiburg,Bundesliga,2022-2023,,,,RW,,,,"Jun 30, 2023",1.0,,,,,,
189,Nicolas Höfler,"€ 17,308","€ 900,000",,"Jan 28, 2020",,,"€ 900,000",,M,,32.0,Starter,Germany,,,Freiburg,Bundesliga,2022-2023,,,,DM,,,,"Jun 30, 2023",1.0,,,,,,
190,Christian Günter,"€ 15,577","€ 810,000",,"Mar 18, 2021",,,"€ 810,000",,D,,29.0,Starter,Germany,,,Freiburg,Bundesliga,2022-2023,,,,LB,,,,"Jun 30, 2023",1.0,,,,,,
191,Jonathan Schmid,"€ 15,577","€ 810,000",,"Jul 1, 2019",,,"€ 810,000",,D,,32.0,Reserve,France,,,Freiburg,Bundesliga,2022-2023,,,,RB,,,,"Jun 30, 2023",1.0,,,,,,
192,Nils Petersen,"€ 14,423","€ 750,000",,"Apr 1, 2022",,,"€ 750,000",,F,,34.0,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023,,,,CF,,,,"Jun 30, 2023",1.0,,,,,,
193,Maximilian Eggestein,"€ 14,231","€ 740,000",,"Aug 18, 2021",,,"€ 2,220,000",,M,,26.0,Starter,Germany,,,Freiburg,Bundesliga,2022-2023,,,,CM,,,,"Jun 30, 2025",3.0,,,,,,
194,Philipp Lienhart,"€ 13,077","€ 680,000",,"May 12, 2021",,,"€ 1,360,000",,D,,26.0,Starter,Austria,,,Freiburg,Bundesliga,2022-2023,,,,CB,,,,"Jun 30, 2024",2.0,,,,,,
195,Roland Sallai,"€ 10,769","€ 560,000",,"Mar 9, 2021",,,"€ 1,680,000",,F,,25.0,Starter,Hungary,,,Freiburg,Bundesliga,2022-2023,,,,RW,,,,"Jun 30, 2025",3.0,,,,,,
196,Manuel Gulde,"€ 9,423","€ 490,000",,"Aug 2, 2021",,,"€ 490,000",,D,,31.0,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023,,,,CB,,,,"Jun 30, 2023",1.0,,,,,,
197,Lucas Höler,"€ 8,269","€ 430,000",,"Jan 16, 2020",,,"€ 430,000",,F,,28.0,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023,,,,CF,,,,"Jun 30, 2023",1.0,,,,,,
198,Woo-yeong Jeong,"€ 7,500","€ 390,000",,"Dec 23, 2021",,,"€ 1,170,000",,F,,23.0,Reserve,South Korea,,,Freiburg,Bundesliga,2022-2023,,,,SS,,,,"Jun 30, 2025",3.0,,,,,,
